Nr   Towers    Disks
0     3          2
1     4          3
2     3          4
3     4          3
4     4          3
5     3          3
6     4          2
7     3          3
8     3          2
9     4          4
10     3          2
11     3          4
12     3          2
13     3          4
14     4          4
15     4          4
16     3          2
17     3          3
18     4          4
19     4          4
20     4          4
21     4          4
22     4          2
23     4          3
24     3          3
25     4          2
26     3          3
27     4          4
28     4          3
29     3          4
30     4          2
31     4          4
32     3          4
33     3          3
34     3          3
35     4          4
36     3          2
37     4          4
38     4          3
39     3          3
40     3          2
41     3          4
42     4          4
43     4          4
44     4          4
45     3          2
46     4          2
47     4          3
48     3          3
49     4          4
50     3          3
51     3          3
52     4          4
53     3          2
54     4          2
55     4          4
56     3          4
57     4          4
58     4          4
59     3          2
60     3          4
61     4          3
62     3          2
63     4          4
64     3          3
65     3          4
66     3          4
67     4          2
68     4          3
69     3          4
70     4          2
71     4          2
72     4          2
73     4          3
74     4          2
75     4          4
76     4          3
77     3          3
78     3          3
79     4          4
80     4          4
81     3          2
82     4          3
83     3          4
84     4          3
85     4          2
86     3          2
87     3          3
88     4          2
89     4          4
90     4          3
91     3          2
92     3          4
93     4          2
94     4          2
95     4          3
96     3          4
97     3          4
98     4          4
99     3          4
